Curriculum,Bioinformatics Ecology and Evolutionary Biology Emphasis,,,,,,,,,
Degree Plan,2019 Degree Plan,,,,,,,,,
Institution,University of Arizona,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.1103,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,General Chemistry I,CHEM,151,,2,,4,,,1
2,Calculus I,MATH,122A&B,,,,5,,,1
3,First Year Composition,ENGL,101,,,,3,,,1
4,Tier I,,,,,,3,,,1
5,Seminar in Bioinformatics,ECOL,296B,,,,1,,,1
6,General Chemistry II,CHEM,152,1,2,,4,,,2
7,Introduction to Computer Programming I,CSC,110,2,,,4,,,2
8,Calculus II,MATH,129,2,,,3,,,2
9,First Year Composition,ENGL,102,3,,,3,,,2
10,Tier I,,,,,,3,,,2
11,Lectures in Organic Chemistry,CHEM,241A,6,,,3,,,3
12,Organic Chemistry Laboratory I,CHEM,243A,,11,,1,,,3
13,Introductory Biology I,MCB,181R,,,,3,,,3
14,Introductory Biology I Lab,MCB,181L,,13,,1,,,3
15,Introduction to Statistics and Biostatistics,MATH,263,2,,,3,,,3
16,Introduction to Computer Programming II,CSC,120,7,,,4,,,3
17,Lectures in Organic Chemistry,CHEM,241B,11,,,3,,,4
18,Organic Chemistry Laboratory II,CHEM,243B,12,,,1,,,4
19,Introductory Biology II,ECOL,182R,,,,3,,,4
20,Introductory Biology II Lab,ECOL,182L,,,,1,,,4
21,Introduction to Discrete Structures,CSC,245,16,,,4,,,4
22,Tier II,,,,,,3,,,4
23,Tier I,,,,,,3,,,5
24,Tier I,,,,,,4,,,5
25,Analysis of Discrete Structure,CSC,345,16;21,,,4,,,5
26,Genetics,ECOL,320,19;20,,,4,,,5
27,Major Elective,,,,,,4,,,6
28,Evolutionary Biology,ECOL,335,19;20,,,4,,,6
29,Bioinformatics,ECOL,346,,,,4,,,6
30,Essential Computing for the Sciences,CSC,250,,,,3,,,6
31,Ecology,ECOL,302,8;19;20,,,4,,,7
32,Second Language,,,,,,4,,,7
33,Tier II,,,,,,3,,,7
34,Major Elective,,,,,,4,,,7
35,Genomics,ECOL,326,19;20,,,3,,,7
36,Major Elective,,,,,,4,,,8
37,Major Elective,,,,,,4,,,8
38,Tier II,,,,,,3,,,8
39,Second Language,,,,,,4,,,8
